iter	Passed	Remaining
0	1	104
1	1	90
2	2	82
3	3	79
4	4	78
5	5	79
6	5	79
7	6	79
8	7	78
9	8	76
10	9	75
11	10	73
12	10	72
13	11	71
14	12	69
15	13	68
16	13	67
17	14	65
18	15	64
19	15	63
20	16	62
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	22	57
28	22	56
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	63	14
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
