iter	Passed	Remaining
0	5	5623
1	8	4244
2	16	5585
3	22	5481
4	24	4833
5	27	4598
6	29	4250
7	33	4199
8	35	3894
9	36	3624
10	38	3433
11	39	3245
12	41	3175
13	43	3031
14	44	2901
15	45	2775
16	46	2661
17	46	2562
18	47	2461
19	48	2369
20	49	2288
21	49	2214
22	50	2148
23	51	2095
24	52	2041
25	53	1991
26	53	1945
27	54	1898
28	56	1902
29	57	1866
30	58	1827
31	59	1790
32	59	1754
33	60	1721
34	61	1691
35	62	1661
36	62	1633
37	63	1608
38	64	1582
39	65	1567
40	66	1554
41	67	1534
42	67	1513
43	68	1493
44	69	1473
45	71	1481
46	73	1481
47	74	1467
48	74	1452
49	75	1437
50	76	1428
51	77	1415
52	78	1400
53	79	1385
54	79	1370
55	80	1356
56	81	1342
57	81	1329
58	82	1317
59	83	1304
60	83	1292
61	85	1289
62	87	1298
63	88	1294
64	89	1283
65	90	1274
66	90	1263
67	91	1254
68	92	1244
69	92	1235
70	93	1225
71	94	1217
72	95	1208
73	95	1200
74	96	1191
75	97	1183
76	98	1175
77	100	1186
78	101	1180
79	102	1173
80	102	1166
81	103	1159
82	103	1148
83	104	1141
84	105	1134
85	106	1128
86	106	1122
87	107	1115
88	108	1109
89	109	1102
90	109	1096
91	110	1090
92	111	1084
93	111	1078
94	112	1073
95	114	1079
96	115	1079
97	116	1074
98	117	1069
99	118	1063
100	118	1057
101	119	1052
102	120	1047
103	120	1041
104	121	1036
105	122	1031
106	122	1025
107	123	1021
108	124	1015
109	124	1010
110	125	1006
111	126	1001
112	127	997
113	127	993
114	129	999
115	130	996
116	131	990
117	131	986
118	132	981
119	133	977
120	133	973
121	134	967
122	135	963
123	135	959
124	136	955
125	137	952
126	137	947
127	138	943
128	139	939
129	139	935
130	140	933
131	141	930
132	142	926
133	142	922
134	144	926
135	145	923
136	146	920
137	146	917
138	147	913
139	148	910
140	148	907
141	149	902
142	150	899
143	150	895
144	151	892
145	152	889
146	152	886
147	153	883
148	154	880
149	154	878
150	155	875
151	156	872
152	157	869
153	158	872
154	160	873
155	161	871
156	161	869
157	162	867
158	163	866
159	165	866
160	165	862
161	166	859
162	166	856
163	167	854
164	168	851
165	168	848
166	169	845
167	170	843
168	171	840
169	171	838
170	173	842
171	174	841
172	176	842
173	177	841
174	178	839
175	178	837
176	179	834
177	180	831
178	180	829
179	181	826
180	182	824
181	182	821
182	183	819
183	184	817
184	184	814
185	185	812
186	186	809
187	188	812
188	189	811
189	190	810
190	190	808
